classTitle,trainerEmail,title,order,duration,videoUrl,focus
BodyCombat 1,laura.trainer@example.com,Warm up,1,5,,Activacion general
BodyCombat 1,laura.trainer@example.com,Primer bloque,2,5,,Tecnica y ritmo
BodyCombat 1,laura.trainer@example.com,Bloque cardiovascular,3,5,,Resistencia
BodyCombat 1,laura.trainer@example.com,Bloque de fuerza,4,5,,Fuerza funcional
BodyCombat 1,laura.trainer@example.com,Trabajo central,5,5,,Core y estabilidad
BodyCombat 1,laura.trainer@example.com,Pico de intensidad,6,5,,Potencia
BodyCombat 1,laura.trainer@example.com,Recuperacion activa,7,5,,Control respiratorio
BodyCombat 1,laura.trainer@example.com,Ultimo reto,8,5,,Coordinacion
BodyCombat 1,laura.trainer@example.com,Cool down,9,5,,Vuelta a la calma
BodyCombat 2,pablo.trainer@example.com,Warm up,1,5,,Activacion general
BodyCombat 2,pablo.trainer@example.com,Primer bloque,2,5,,Tecnica y ritmo
BodyCombat 2,pablo.trainer@example.com,Bloque cardiovascular,3,5,,Resistencia
BodyCombat 2,pablo.trainer@example.com,Bloque de fuerza,4,5,,Fuerza funcional
BodyCombat 2,pablo.trainer@example.com,Trabajo central,5,5,,Core y estabilidad
BodyCombat 2,pablo.trainer@example.com,Pico de intensidad,6,5,,Potencia
BodyCombat 2,pablo.trainer@example.com,Recuperacion activa,7,5,,Control respiratorio
BodyCombat 2,pablo.trainer@example.com,Ultimo reto,8,5,,Coordinacion
BodyCombat 2,pablo.trainer@example.com,Cool down,9,5,,Vuelta a la calma
BodyPump 1,pablo.trainer@example.com,Warm up,1,5,,Activacion general
BodyPump 1,pablo.trainer@example.com,Primer bloque,2,5,,Tecnica y ritmo
BodyPump 1,pablo.trainer@example.com,Bloque cardiovascular,3,5,,Resistencia
BodyPump 1,pablo.trainer@example.com,Bloque de fuerza,4,5,,Fuerza funcional
BodyPump 1,pablo.trainer@example.com,Trabajo central,5,5,,Core y estabilidad
BodyPump 1,pablo.trainer@example.com,Pico de intensidad,6,5,,Potencia
BodyPump 1,pablo.trainer@example.com,Recuperacion activa,7,5,,Control respiratorio
